Date,High,Low,Open,Close,Volume,Adj Close
2016-06-29,106.02999877929688,101.66000366210938,102.80000305175781,106.0,1439600.0,100.80391693115234
2016-06-30,107.31999969482422,104.91999816894531,106.02999877929688,107.26000213623047,1709600.0,102.0021743774414
2016-07-01,109.0999984741211,107.11000061035156,107.11000061035156,107.86000061035156,891700.0,102.57274627685547
2016-07-05,107.8499984741211,105.33999633789062,107.11000061035156,106.16999816894531,958900.0,100.965576171875
2016-07-06,106.88999938964844,104.75,105.1500015258789,106.77999877929688,1155900.0,101.54570007324219
2016-07-07,107.95999908447266,105.62000274658203,106.68000030517578,107.30999755859375,824200.0,102.0497055053711
2016-07-08,109.30000305175781,108.2300033569336,108.94999694824219,108.87000274658203,1221000.0,103.53324890136719
2016-07-11,110.91000366210938,109.41000366210938,109.63999938964844,110.26000213623047,1135700.0,104.8551025390625
2016-07-12,113.29000091552734,110.94999694824219,111.4800033569336,112.9800033569336,1247900.0,107.4417724609375
2016-07-13,113.91000366210938,112.22000122070312,113.69000244140625,113.86000061035156,781700.0,108.27863311767578
2016-07-14,115.38999938964844,114.05000305175781,115.0,115.19999694824219,827100.0,109.5529556274414
2016-07-15,116.26000213623047,114.87999725341797,115.80000305175781,115.63999938964844,1466000.0,109.97139739990234
2016-07-18,116.95999908447266,116.0,116.0,116.86000061035156,743700.0,111.13156127929688
2016-07-19,116.66000366210938,115.58000183105469,116.12999725341797,116.58000183105469,818600.0,110.86529541015625
2016-07-20,117.68000030517578,116.76000213623047,117.4000015258789,117.11000061035156,876000.0,111.36933135986328
2016-07-21,117.56999969482422,116.30999755859375,116.8499984741211,116.83000183105469,888000.0,111.1030502319336
2016-07-22,117.33999633789062,113.05999755859375,116.91999816894531,117.30999755859375,703600.0,111.55951690673828
2016-07-25,117.52999877929688,116.36000061035156,117.26000213623047,117.16000366210938,599700.0,111.41687774658203
2016-07-26,117.62000274658203,116.19999694824219,116.5999984741211,117.55000305175781,786700.0,111.78775787353516
2016-07-27,118.12999725341797,116.52999877929688,118.12999725341797,117.41999816894531,843600.0,111.66413879394531
2016-07-28,122.2300033569336,117.51000213623047,118.0,121.4000015258789,1622700.0,115.44902038574219
