TR_A_interestDueVal_t,TR_A_interestPayment_t,TR_A_interestShortfall_t,TR_A_principalPayment_t,TR_A_notionalBalanceVal_t,TR_B_interestDueVal_t,TR_B_interestPayment_t,TR_B_interestShortfall_t,TR_B_principalPayment_t,TR_B_notionalBalanceVal_t,reserveAccount_t
48279.96312634748,48279.96312634748,0,541207.9951956251,8695648.54570182,16093.328046784374,16093.328046784374,0,180402.6650652084,2898549.5152339414,6464101.090370143
45221.100970281484,45221.100970281484,0,550928.1394703893,8144720.406231431,15073.70688430259,15073.70688430259,0,183642.71315679644,2714906.8020771453,6604945.578986478
42144.51027286486,42144.51027286486,0,554121.2066318014,7590599.199599629,14048.176205465132,14048.176205465132,0,184707.06887726716,2530199.7331998786,6732520.277926938
39005.462409128064,39005.462409128064,0,565370.2949142323,7025228.904685397,13001.826462126048,13001.826462126048,0,188456.76497141077,2341742.9682284677,6857696.688492736
35773.79817640938,35773.79817640938,0,582051.3224481159,6443177.582237281,11924.604582355818,11924.604582355818,0,194017.1074827053,2147725.8607457625,6975368.137861525
32461.560723068033,32461.560723068033,0,596563.2724033471,5846614.3098339345,10820.524950688115,10820.524950688115,0,198854.42413444901,1948871.4366113134,7100818.138817964
29092.111958010435,29092.111958010435,0,606867.5358556861,5239746.773978248,9697.374873481194,9697.374873481194,0,202289.178618562,1746582.257992751,7218403.7378503475
25609.85416907506,25609.85416907506,0,627185.4392032454,4612561.334775003,8536.62177194819,8536.62177194819,0,209061.81306774847,1537520.4449250028,7328794.319438112
22018.641781430524,22018.641781430524,0,646809.1264735416,3965752.2083014622,7339.550455037851,7339.550455037851,0,215603.0421578472,1321917.4027671553,7427642.752277221
18235.34056344584,18235.34056344584,0,681406.0244417851,3284346.183859676,6078.449500145044,6078.449500145044,0,227135.34148059503,1094782.0612865603,7538992.60830309
14380.808267179136,14380.808267179136,0,694235.3719011198,2590110.811958555,4793.6048421570495,4793.6048421570495,0,231411.7906337066,863370.2706528539,7651005.668833921
10496.74334824897,10496.74334824897,0,699554.4585508411,1890556.3534077145,3498.915972329843,3498.915972329843,0,233184.81951694703,630185.4511359073,7763967.49788813
6562.034482126778,6562.034482126778,0,708675.8815435729,1181880.4718641415,2187.3457794243122,2187.3457794243122,0,236225.29384785763,393960.15728804935,7870630.405823575
2555.743068151893,2555.743068151893,0,721568.5317824292,460311.94008171186,851.914726849043,851.914726849043,0,240522.84392747638,153437.3133605728,8339404.619942858
0,0,0,460311.94008171186,0.0,0,0,0,153437.3133605728,0.0,9432874.938686952
0,0,0,0,0.0,0,0,0,0,0.0,10539633.56512551
0,0,0,0,0.0,0,0,0,0,0.0,11642351.154343931
0,0,0,0,0.0,0,0,0,0,0.0,12745274.207265181
0,0,0,0,0.0,0,0,0,0,0.0,13864808.893316846
0,0,0,0,0.0,0,0,0,0,0.0,14985827.160987811
0,0,0,0,0.0,0,0,0,0,0.0,16119083.5684686
0,0,0,0,0.0,0,0,0,0,0.0,17255144.603383724
0,0,0,0,0.0,0,0,0,0,0.0,18394931.619508427
0,0,0,0,0.0,0,0,0,0,0.0,19535559.60777084
0,0,0,0,0.0,0,0,0,0,0.0,20676059.564615533
0,0,0,0,0.0,0,0,0,0,0.0,21819794.978912417
0,0,0,0,0.0,0,0,0,0,0.0,22979918.812587146
0,0,0,0,0.0,0,0,0,0,0.0,24147057.313568823
0,0,0,0,0.0,0,0,0,0,0.0,25337660.112364404
0,0,0,0,0.0,0,0,0,0,0.0,26543300.93390439
0,0,0,0,0.0,0,0,0,0,0.0,27752851.711929854
0,0,0,0,0.0,0,0,0,0,0.0,28973109.69333907
0,0,0,0,0.0,0,0,0,0,0.0,30194436.775832895
0,0,0,0,0.0,0,0,0,0,0.0,31421205.4058748
0,0,0,0,0.0,0,0,0,0,0.0,32656413.55737702
0,0,0,0,0.0,0,0,0,0,0.0,33905320.02690587
0,0,0,0,0.0,0,0,0,0,0.0,35170583.89568738
0,0,0,0,0.0,0,0,0,0,0.0,36444150.68953769
0,0,0,0,0.0,0,0,0,0,0.0,37733134.78698257
