TR_A_interestDueVal_t,TR_A_interestPayment_t,TR_A_interestShortfall_t,TR_A_principalPayment_t,TR_A_notionalBalanceVal_t,TR_B_interestDueVal_t,TR_B_interestPayment_t,TR_B_interestShortfall_t,TR_B_principalPayment_t,TR_B_notionalBalanceVal_t,reserveAccount_t
59982.18681129694,59982.18681129694,0,355480.12465750374,11996437.362259388,33323.437117387184,33323.437117387184,0,118493.37488583458,3998812.4540864625,6158872.894566876
58180.175096573344,58180.175096573344,0,360402.3429447183,11636035.01931467,32322.3194980963,32322.3194980963,0,120134.11431490611,3878678.339771556,6283833.842321119
56353.20711378892,56353.20711378892,0,365393.5965568848,11270641.422757784,31307.337285438287,31307.337285438287,0,121797.8655189616,3756880.4742525946,6404888.381382887
54500.9327851748,54500.9327851748,0,370454.86572282424,10900186.55703496,30278.295991763775,30278.295991763775,0,123484.9552409414,3633395.519011653,6521981.197358986
52622.99706140583,52622.99706140583,0,375587.14475379244,10524599.412281167,29234.998367447686,29234.998367447686,0,125195.7149179308,3508199.8040937223,6635056.183357494
50719.039850165595,50719.039850165595,0,380791.4422480491,10143807.970033119,28177.244361203106,28177.244361203106,0,126930.48074934969,3381269.3233443727,6744056.4285063
48788.695943673396,48788.695943673396,0,386068.78129844,9757739.188734679,27104.83107981855,27104.83107981855,0,128689.59376614667,3252579.729578226,6848924.206303551
46831.59494515833,46831.59494515833,0,391420.1997030137,9366318.989031665,26017.55274731018,26017.55274731018,0,130473.39990100457,3122106.3296772214,6949600.962797519
44847.36119426461,44847.36119426461,0,396846.7501787435,8969472.238852922,24915.200663480333,24915.200663480333,0,132282.25005958116,2989824.07961764,7046027.304593371
42835.61369137274,42835.61369137274,0,402349.50057837286,8567122.738274548,23797.56316187374,23797.56316187374,0,134116.50019279096,2855707.579424849,7138142.986684264
40795.966020820415,40795.966020820415,0,407929.534110466,8159193.204164082,22664.42556712245,22664.42556712245,0,135976.51137015535,2719731.0680546938,7225886.900104184
38728.02627300704,38728.02627300704,0,413587.9495626737,7745605.254601408,21515.57015167058,21515.57015167058,0,137862.64985422455,2581868.4182004696,7309197.059399888
36631.39696536562,36631.39696536562,0,419325.86152828427,7326279.393073123,20350.77609186979,20350.77609186979,0,139775.28717609475,2442093.1310243746,7388010.58991927
34505.67496218508,34505.67496218508,0,425144.4006361071,6901134.992437016,19169.819423436154,19169.819423436154,0,141714.80021203568,2300378.3308123387,7462263.714913436
32350.451393266434,32350.451393266434,0,431044.7137837295,6470090.278653286,17972.47299625913,17972.47299625913,0,143681.57126124317,2156696.759551096,7531891.742449722
30165.31157139537,30165.31157139537,0,437027.964374212,6033062.314279074,16758.506428552984,16758.506428552984,0,145675.98812473734,2011020.7714263583,7596829.05213288
27949.834908614168,27949.834908614168,0,443095.33255624096,5589966.981722834,15527.686060341206,15527.686060341206,0,147698.44418541365,1863322.3272409448,7657009.0816315655
25703.59483127497,25703.59483127497,0,449248.0154678401,5140718.966254994,14279.774906263872,14279.774906263872,0,149749.33848928002,1713572.9887516648,7712364.3130072635
23426.158693856756,23426.158693856756,0,455487.2274836432,4685231.738771351,13014.5326076982,13014.5326076982,0,151829.07582788108,1561743.912923784,7762826.258842711
21117.08769152766,21117.08769152766,0,461814.2004658181,4223417.538305532,11731.715384182038,11731.715384182038,0,153938.06682193937,1407805.8461018447,7809011.479343786
18778.509388347753,18778.509388347753,0,467715.6606359833,3755701.8776695505,10432.505215748748,10432.505215748748,0,155905.22021199443,1251900.6258898498,7851085.367435078
16410.8718818626,16410.8718818626,0,473527.50129702914,3282174.37637252,9117.151045479222,9117.151045479222,0,157842.50043234305,1094058.1254575066,7889306.965229955
14014.977067978065,14014.977067978065,0,479178.96277690725,2802995.413595613,7786.09837109892,7786.09837109892,0,159726.32092563575,934331.8045318704,7923972.583087505
11591.771276247577,11591.771276247577,0,484641.15834609943,2318354.255249515,6439.87293124864,6439.87293124864,0,161547.05278203313,772784.7517498368,7955503.3678863365
9142.67449342845,9142.67449342845,0,489819.35656382516,1828534.89868569,5079.263607460237,5079.263607460237,0,163273.1188546084,609511.6328952285,7984280.244979332
6668.964158812669,6668.964158812669,0,494742.06692315685,1333792.8317625336,3704.9800882292443,3704.9800882292443,0,164914.02230771896,444597.61058750935,8010716.209661552
4172.045425704531,4172.045425704531,0,499383.7466216256,834409.0851409063,2317.8030142802822,2317.8030142802822,0,166461.2488738752,278136.3617136339,8035399.342474648
1653.988213810716,1653.988213810716,0,503611.44237876136,330797.64276214316,918.8823410059481,918.8823410059481,0,167870.48079292045,110265.88092071377,8294417.852661734
0,0,0,330797.64276214316,0.0,0,0,0,110265.88092071377,0.0,8997072.757086495
0,0,0,0,0.0,0,0,0,0,0.0,9699727.661511255
0,0,0,0,0.0,0,0,0,0,0.0,10402382.565936016
0,0,0,0,0.0,0,0,0,0,0.0,11105037.470360776
0,0,0,0,0.0,0,0,0,0,0.0,11807692.374785537
0,0,0,0,0.0,0,0,0,0,0.0,12510347.279210297
0,0,0,0,0.0,0,0,0,0,0.0,13213002.183635058
0,0,0,0,0.0,0,0,0,0,0.0,13915657.088059818
0,0,0,0,0.0,0,0,0,0,0.0,14618311.992484579
0,0,0,0,0.0,0,0,0,0,0.0,15320966.89690934
0,0,0,0,0.0,0,0,0,0,0.0,16023621.8013341
0,0,0,0,0.0,0,0,0,0,0.0,16726276.70575886
