TR_A_interestDueVal_t,TR_A_interestPayment_t,TR_A_interestShortfall_t,TR_A_principalPayment_t,TR_A_notionalBalanceVal_t,TR_B_interestDueVal_t,TR_B_interestPayment_t,TR_B_interestShortfall_t,TR_B_principalPayment_t,TR_B_notionalBalanceVal_t,reserveAccount_t
0,0,0,0,0.0,0,0,0,0,0.0,11281706.521207578
0,0,0,0,0.0,0,0,0,0,0.0,12398183.744978132
0,0,0,0,0.0,0,0,0,0,0.0,13522385.189951537
0,0,0,0,0.0,0,0,0,0,0.0,14650098.773914484
0,0,0,0,0.0,0,0,0,0,0.0,15780753.242213449
0,0,0,0,0.0,0,0,0,0,0.0,16914325.458915003
0,0,0,0,0.0,0,0,0,0,0.0,18043588.50249379
0,0,0,0,0.0,0,0,0,0,0.0,19168585.46468104
0,0,0,0,0.0,0,0,0,0,0.0,20296399.4172911
0,0,0,0,0.0,0,0,0,0,0.0,21428749.97837598
0,0,0,0,0.0,0,0,0,0,0.0,22568274.01916125
0,0,0,0,0.0,0,0,0,0,0.0,23713754.46766676
0,0,0,0,0.0,0,0,0,0,0.0,24865294.822120234
0,0,0,0,0.0,0,0,0,0,0.0,26016148.424084254
0,0,0,0,0.0,0,0,0,0,0.0,27168340.93729947
0,0,0,0,0.0,0,0,0,0,0.0,28318902.347189963
0,0,0,0,0.0,0,0,0,0,0.0,29483588.908610407
0,0,0,0,0.0,0,0,0,0,0.0,30657361.735563193
0,0,0,0,0.0,0,0,0,0,0.0,31836049.170761745
0,0,0,0,0.0,0,0,0,0,0.0,33024120.885162048
0,0,0,0,0.0,0,0,0,0,0.0,34220067.837846525
0,0,0,0,0.0,0,0,0,0,0.0,35419813.749518216
0,0,0,0,0.0,0,0,0,0,0.0,36631277.085588075
0,0,0,0,0.0,0,0,0,0,0.0,37848146.82961929
0,0,0,0,0.0,0,0,0,0,0.0,39070319.06916273
0,0,0,0,0.0,0,0,0,0,0.0,40301536.36047118
